,web-scraper-order,web-scraper-start-url,Books,Books-href,Author,Abstract,category,views
0,1637239114-889,"https://www.bookrix.com/books;true-crime,id:51.html",The Poisoned Pen,https://www.bookrix.com/_ebook-arthur-b-reeve-the-poisoned-pen/,Arthur B.  Reeve,"Kennedy's Suit-Case Was Lying Open On The Bed,  And He Was Literally

Throwing Things Into It From His Chiffonier,  As I Entered After A

Hurried Trip Up-Town From The Star Office In Response To An Urgent

Message From Him.



""Come,  Walter,"" He Cried,  Hastily Stuffing In A Package Of Clean

Laundry Without Taking Off The Wrapping-Paper,  ""I've Got Your

Suit-Case Out.  Pack Up Whatever You Can In Five Minutes.  We Must

Take The Six O'clock Train For Danbridge.""



I Did Not Wait To Hear Any More.  The Mere Mention Of The Name Of

The Quaint And Quiet Little Connecticut Town Was Sufficient.  For

Danbridge Was On Everybody's Lips At That Time.  It Was The Scene

Of The Now Famous Danbridge Poisoning Case - A Brutal Case In Which

The Pretty Little Actress,  Vera Lytton,  Had Been The Victim.",True Crime,3
1,1637239105-888,"https://www.bookrix.com/books;true-crime,id:51.html",The History Of A Crime (fiscle part- 4) The Testimony Of An Eye-Witness,https://www.bookrix.com/_ebook-victor-hugo-the-history-of-a-crime-fiscle-part-4-the-testimony-of-an-eye-witness/,Victor Hugo,"On December 1, 1851, Charras[1] Shrugged his Shoulder And Unloaded his

Pistols. In truth, The Belief In the Possibility Of A _Coup D'Etat_ Had

Become Humiliating. The Supposition Of Such Illegal Violence On The Part

Of M. Louis Bonaparte Vanished upon Serious Consideration. The Great

Question Of The Day Was Manifestly The Devincq Election; It Was Clear

That The Government Was Only Thinking Of That Matter.",True Crime,3
2,1637239435-913,"https://www.bookrix.com/books;true-crime,id:51.html",Grimshaw Mysteries,https://www.bookrix.com/_ebook-kyler-james-grimshaw-mysteries-3/,Kyler James,"Rick grimshaw is an old school detective in a new world of technology and crime.

 

The Rook is back! Nick needs to pull himself together and stop the him before the bodies start piling up again.



He takes the streets anew in search of the killer that's eluded him for so manty years.",True Crime,646
3,1637239159-892,"https://www.bookrix.com/books;true-crime,id:51.html",Maiwa's Revenge,https://www.bookrix.com/_ebook-h-rider-haggard-maiwa-039-s-revenge-6/,H. Rider Haggard,"Sir Henry Rider Haggard, KBE (/ˈhæɡərd/; 22 June 1856 – 14 May 1925) was an English writer of adventure novels set in exotic locations, predominantly Africa, and a founder of the Lost World literary genre.[1] He was also involved in agricultural reform throughout the British Empire. His stories, situated at the lighter end of Victorian literature, continue to be popular and influential.",True Crime,5
4,1637239684-930,"https://www.bookrix.com/books;true-crime,id:51.html",Little Too Obsessed,https://www.bookrix.com/_ebook-ashley-arble-little-too-obsessed/,Ashley Arble,"Danika, a young teenager, can't wait to have kids. So what does she do? She buys baby dolls. They are her ""toys"" she claims. Something about them makes her mom feel uneasy...",True Crime,3701
5,1637238931-872,"https://www.bookrix.com/books;true-crime,id:51.html",A Terrible Secret,https://www.bookrix.com/_ebook-may-agnes-fleming-a-terrible-secret-1/,May Agnes  Fleming,"Firelight Falling on Soft Velvet Carpet, Where White Lily Buds Trail

Along Azure Ground, On Chairs Of   White-Polished wood That Glitters

Like Ivory, With Puffy Of   Seats Of   Blue Satin; On Blue And Gilt

Panelled walls; On A Wonderfully Carved oaken Ceiling; On Sweeping

Draperies Of   Blue Satin And White Lace; On Half A Dozen Lovely

Pictures; On An Open Piano; And Last Of   All, On The   Handsome, Angry

Face Of   A Girl Who Stands Before It--Inez Catheron.",True Crime,2
6,1637239495-917,"https://www.bookrix.com/books;true-crime,id:51.html",Sasha's Choice,https://www.bookrix.com/_ebook-z-c-sasha-039-s-choice/,"z c, . .",Sasha is torn between her boyfriend of three years and her best friend since middle school .. ........which one will she choose..............,True Crime,897
7,1637239324-905,"https://www.bookrix.com/books;true-crime,id:51.html",The Interceptors: Peril Circle,https://www.bookrix.com/_ebook-james-east-dribbleondo-the-interceptors-peril-circle/,James East (Dribbleondo),The Interceptors are back for their secod outing and this time they have to face possibly the most deadly enemy of all... Swindon's Magic Roundabout.,True Crime,399
8,1637239760-937,"https://www.bookrix.com/books;true-crime,id:51.html",Rape,https://www.bookrix.com/_ebook-crystall-bws-rape/,Crystall Bws,"Sam is a bright girl which came from a family of a rich businessman. She had a happy life but one day that all changed. She was tied while 4 men brutally beat her up and raped her. The men had said that her and her pussy is their property and this is her home. A 5th man appears out of nowhere, and it turns out to be Sam's father. Sam is shocked as her father tells her to story of how her mother faced the same. Out of nowhere, her mother appears at the scene and they both try to escape, but in a split second the father grabbed both of them, tied them both, and they both faced the pain.



What will happen?



Will she give up?



Will she fight back?



Or will she just face it painfully?",True Crime,22437
9,1637238986-876,"https://www.bookrix.com/books;true-crime,id:51.html",Trent's Last Case (Fiscle Part-3),https://www.bookrix.com/_ebook-e-c-bentley-trent-039-s-last-case-fiscle-part-3/,E.C.  Bentley,"Between What Matters And What Seems To Matter,  How Should The World We Know

Judge Wisely?



When The Scheming,  Indomitable Brain Of Sigsbee Manderson Was Scattered By A

Shot From An Unknown Hand,  That World Lost Nothing Worth A Single Tear; It

Gained Something Memorable In A Harsh Reminder Of The Vanity Of Such Wealth As

This Dead Man Had Piled Up--Without Making One Loyal Friend To Mourn Him,

Without Doing An Act That Could Help His Memory To The Least Honour. But When

The News Of His End Came,",True Crime,2
10,1637239412-911,"https://www.bookrix.com/books;true-crime,id:51.html",The Life ( book 2),https://www.bookrix.com/_ebook-soontobefamous-the-life-book-2/,soontobefamous,This small child let's you in on how she lives her days and how shes gonna make the pain go away.,True Crime,531
